year,color_name,rgb,quantity,color_info
1987,Dark Gray,6D6E5C,18,Dark Gray (6D6E5C)
1987,Earth Orange,FA9C1C,3,Earth Orange (FA9C1C)
1987,Fabuland Brown,B67B50,12,Fabuland Brown (B67B50)
1987,Fabuland Orange,EF9121,4,Fabuland Orange (EF9121)
1987,Green,237841,232,Green (237841)
1987,Light Gray,9BA19D,1703,Light Gray (9BA19D)
1987,Milky White,FFFFFF,5,Milky White (FFFFFF)
1987,Red,C91A09,2649,Red (C91A09)
1987,Trans-Clear,FCFCFC,186,Trans-Clear (FCFCFC)
1987,Trans-Dark Blue,0020A0,55,Trans-Dark Blue (0020A0)
1987,Trans-Green,84B68D,36,Trans-Green (84B68D)
1987,Trans-Light Blue,AEEFEC,36,Trans-Light Blue (AEEFEC)
1987,Trans-Red,C91A09,212,Trans-Red (C91A09)
1987,Trans-Yellow,F5CD2F,87,Trans-Yellow (F5CD2F)
1987,White,FFFFFF,2855,White (FFFFFF)
1987,Yellow,F2CD37,1921,Yellow (F2CD37)
1987,[No Color/Any Color],05131D,35,[No Color/Any Color] (05131D)
1988,Black,05131D,2941,Black (05131D)
1988,Blue,0055BF,549,Blue (0055BF)
1988,Brown,583927,56,Brown (583927)
1988,Dark Gray,6D6E5C,47,Dark Gray (6D6E5C)
1988,Fabuland Brown,B67B50,3,Fabuland Brown (B67B50)
1988,Green,237841,177,Green (237841)
1988,Light Gray,9BA19D,1284,Light Gray (9BA19D)
1988,Red,C91A09,1106,Red (C91A09)
1988,Tan,E4CD9E,1,Tan (E4CD9E)
1988,Trans-Clear,FCFCFC,72,Trans-Clear (FCFCFC)
1988,Trans-Dark Blue,0020A0,63,Trans-Dark Blue (0020A0)
1988,Trans-Green,84B68D,18,Trans-Green (84B68D)
1988,Trans-Light Blue,AEEFEC,35,Trans-Light Blue (AEEFEC)
1988,Trans-Neon Green,F8F184,4,Trans-Neon Green (F8F184)
1988,Trans-Red,C91A09,232,Trans-Red (C91A09)
1988,Trans-Yellow,F5CD2F,70,Trans-Yellow (F5CD2F)
1988,White,FFFFFF,1915,White (FFFFFF)
1988,Yellow,F2CD37,1287,Yellow (F2CD37)
1988,[No Color/Any Color],05131D,32,[No Color/Any Color] (05131D)
1989,Black,05131D,3224,Black (05131D)
1989,Blue,0055BF,1252,Blue (0055BF)
1989,Brown,583927,239,Brown (583927)
1989,Chrome Gold,BBA53D,64,Chrome Gold (BBA53D)
1989,Dark Gray,6D6E5C,97,Dark Gray (6D6E5C)
1989,Fabuland Red,FF8014,1,Fabuland Red (FF8014)
1989,Green,237841,165,Green (237841)
1989,Light Gray,9BA19D,1458,Light Gray (9BA19D)
1989,Milky White,FFFFFF,2,Milky White (FFFFFF)
1989,Nougat,D09168,1,Nougat (D09168)
1989,Red,C91A09,1437,Red (C91A09)
1989,Trans-Clear,FCFCFC,117,Trans-Clear (FCFCFC)
1989,Trans-Dark Blue,0020A0,38,Trans-Dark Blue (0020A0)
1989,Trans-Green,84B68D,15,Trans-Green (84B68D)
1989,Trans-Light Blue,AEEFEC,47,Trans-Light Blue (AEEFEC)
1989,Trans-Red,C91A09,221,Trans-Red (C91A09)
1989,Trans-Yellow,F5CD2F,105,Trans-Yellow (F5CD2F)
1989,White,FFFFFF,1704,White (FFFFFF)
1989,Yellow,F2CD37,1612,Yellow (F2CD37)
1989,[No Color/Any Color],05131D,19,[No Color/Any Color] (05131D)
1990,Black,05131D,3907,Black (05131D)
1990,Blue,0055BF,1518,Blue (0055BF)
1990,Brown,583927,118,Brown (583927)
1990,Chrome Gold,BBA53D,8,Chrome Gold (BBA53D)
1990,Dark Gray,6D6E5C,65,Dark Gray (6D6E5C)
1990,Earth Orange,FA9C1C,8,Earth Orange (FA9C1C)
