year,color_name,rgb,quantity,color_info
1994,Chrome Gold,BBA53D,36,Chrome Gold (BBA53D)
1994,Chrome Silver,E0E0E0,25,Chrome Silver (E0E0E0)
1994,Dark Gray,6D6E5C,173,Dark Gray (6D6E5C)
1994,Dark Orange,A95500,2,Dark Orange (A95500)
1994,Earth Orange,FA9C1C,4,Earth Orange (FA9C1C)
1994,Fabuland Red,FF8014,2,Fabuland Red (FF8014)
1994,Glow In Dark Opaque,D4D5C9,2,Glow In Dark Opaque (D4D5C9)
1994,Green,237841,378,Green (237841)
1994,Light Gray,9BA19D,3018,Light Gray (9BA19D)
1994,Light Green,C2DAB8,10,Light Green (C2DAB8)
1994,Light Violet,C9CAE2,30,Light Violet (C9CAE2)
1994,Light Yellow,FBE696,23,Light Yellow (FBE696)
1994,Medium Dark Pink,F785B1,169,Medium Dark Pink (F785B1)
1994,Medium Green,73DCA1,81,Medium Green (73DCA1)
1994,Nougat,D09168,2,Nougat (D09168)
1994,Pink,FC97AC,72,Pink (FC97AC)
1994,Red,C91A09,2695,Red (C91A09)
1994,Tan,E4CD9E,6,Tan (E4CD9E)
1994,Trans-Clear,FCFCFC,106,Trans-Clear (FCFCFC)
1994,Trans-Dark Blue,0020A0,132,Trans-Dark Blue (0020A0)
1994,Trans-Green,84B68D,28,Trans-Green (84B68D)
1994,Trans-Light Blue,AEEFEC,131,Trans-Light Blue (AEEFEC)
1994,Trans-Neon Green,F8F184,59,Trans-Neon Green (F8F184)
1994,Trans-Neon Orange,FF800D,21,Trans-Neon Orange (FF800D)
1994,Trans-Red,C91A09,117,Trans-Red (C91A09)
1994,Trans-Yellow,F5CD2F,129,Trans-Yellow (F5CD2F)
1994,White,FFFFFF,2450,White (FFFFFF)
1994,Yellow,F2CD37,1547,Yellow (F2CD37)
1994,[No Color/Any Color],05131D,80,[No Color/Any Color] (05131D)
1995,Black,05131D,5863,Black (05131D)
1995,Blue,0055BF,2576,Blue (0055BF)
1995,Bright Green,4B9F4A,3,Bright Green (4B9F4A)
1995,Brown,583927,193,Brown (583927)
1995,Chrome Gold,BBA53D,26,Chrome Gold (BBA53D)
1995,Chrome Silver,E0E0E0,62,Chrome Silver (E0E0E0)
1995,Dark Gray,6D6E5C,289,Dark Gray (6D6E5C)
1995,Dark Orange,A95500,2,Dark Orange (A95500)
1995,Earth Orange,FA9C1C,3,Earth Orange (FA9C1C)
1995,Glow In Dark Opaque,D4D5C9,3,Glow In Dark Opaque (D4D5C9)
1995,Green,237841,481,Green (237841)
1995,Light Blue,B4D2E3,2,Light Blue (B4D2E3)
1995,Light Gray,9BA19D,4281,Light Gray (9BA19D)
1995,Light Green,C2DAB8,3,Light Green (C2DAB8)
1995,Light Violet,C9CAE2,23,Light Violet (C9CAE2)
1995,Light Yellow,FBE696,2,Light Yellow (FBE696)
1995,Maersk Blue,3592C3,18,Maersk Blue (3592C3)
1995,Medium Dark Pink,F785B1,89,Medium Dark Pink (F785B1)
1995,Medium Green,73DCA1,54,Medium Green (73DCA1)
1995,Pink,FC97AC,89,Pink (FC97AC)
1995,Red,C91A09,3320,Red (C91A09)
1995,Tan,E4CD9E,1,Tan (E4CD9E)
1995,Trans-Clear,FCFCFC,84,Trans-Clear (FCFCFC)
1995,Trans-Dark Blue,0020A0,110,Trans-Dark Blue (0020A0)
1995,Trans-Green,84B68D,25,Trans-Green (84B68D)
1995,Trans-Light Blue,AEEFEC,53,Trans-Light Blue (AEEFEC)
1995,Trans-Neon Green,F8F184,97,Trans-Neon Green (F8F184)
1995,Trans-Neon Orange,FF800D,78,Trans-Neon Orange (FF800D)
1995,Trans-Red,C91A09,134,Trans-Red (C91A09)
1995,Trans-Yellow,F5CD2F,146,Trans-Yellow (F5CD2F)
1995,White,FFFFFF,3179,White (FFFFFF)
1995,Yellow,F2CD37,3170,Yellow (F2CD37)
1995,[No Color/Any Color],05131D,59,[No Color/Any Color] (05131D)
1996,Black,05131D,8056,Black (05131D)
1996,Blue,0055BF,2648,Blue (0055BF)
1996,Bright Green,4B9F4A,4,Bright Green (4B9F4A)
1996,Brown,583927,700,Brown (583927)
1996,Chrome Gold,BBA53D,74,Chrome Gold (BBA53D)
1996,Chrome Silver,E0E0E0,78,Chrome Silver (E0E0E0)
1996,Dark Gray,6D6E5C,567,Dark Gray (6D6E5C)
1996,Dark Orange,A95500,3,Dark Orange (A95500)
1996,Glow In Dark Opaque,D4D5C9,3,Glow In Dark Opaque (D4D5C9)
1996,Green,237841,822,Green (237841)
1996,Light Blue,B4D2E3,1,Light Blue (B4D2E3)
1996,Light Gray,9BA19D,4177,Light Gray (9BA19D)
1996,Light Violet,C9CAE2,25,Light Violet (C9CAE2)
1996,Light Yellow,FBE696,12,Light Yellow (FBE696)
1996,Medium Dark Pink,F785B1,157,Medium Dark Pink (F785B1)
1996,Medium Green,73DCA1,36,Medium Green (73DCA1)
1996,Medium Orange,FFA70B,2,Medium Orange (FFA70B)
1996,Nougat,D09168,15,Nougat (D09168)
1996,Pink,FC97AC,99,Pink (FC97AC)
1996,Red,C91A09,3690,Red (C91A09)
1996,Tan,E4CD9E,8,Tan (E4CD9E)
1996,Trans-Clear,FCFCFC,160,Trans-Clear (FCFCFC)
1996,Trans-Dark Blue,0020A0,101,Trans-Dark Blue (0020A0)
1996,Trans-Green,84B68D,60,Trans-Green (84B68D)
1996,Trans-Light Blue,AEEFEC,128,Trans-Light Blue (AEEFEC)
1996,Trans-Neon Green,F8F184,184,Trans-Neon Green (F8F184)
1996,Trans-Neon Orange,FF800D,133,Trans-Neon Orange (FF800D)
1996,Trans-Red,C91A09,172,Trans-Red (C91A09)
1996,Trans-Yellow,F5CD2F,192,Trans-Yellow (F5CD2F)
1996,White,FFFFFF,5451,White (FFFFFF)
1996,Yellow,F2CD37,3298,Yellow (F2CD37)
1996,[No Color/Any Color],05131D,76,[No Color/Any Color] (05131D)
1997,Black,05131D,6654,Black (05131D)
1997,Blue,0055BF,2599,Blue (0055BF)
1997,Bright Green,4B9F4A,33,Bright Green (4B9F4A)
1997,Brown,583927,463,Brown (583927)
1997,Chrome Gold,BBA53D,87,Chrome Gold (BBA53D)
1997,Chrome Silver,E0E0E0,107,Chrome Silver (E0E0E0)
1997,Dark Gray,6D6E5C,504,Dark Gray (6D6E5C)
1997,Dark Orange,A95500,26,Dark Orange (A95500)
1997,Earth Orange,FA9C1C,20,Earth Orange (FA9C1C)
1997,Green,237841,1394,Green (237841)
1997,Light Gray,9BA19D,4686,Light Gray (9BA19D)
1997,Light Green,C2DAB8,50,Light Green (C2DAB8)
1997,Light Salmon,FEBABD,153,Light Salmon (FEBABD)
1997,Light Violet,C9CAE2,50,Light Violet (C9CAE2)
1997,Light Yellow,FBE696,43,Light Yellow (FBE696)
1997,Lime,BBE90B,12,Lime (BBE90B)
1997,Medium Blue,5A93DB,23,Medium Blue (5A93DB)
1997,Medium Dark Pink,F785B1,70,Medium Dark Pink (F785B1)
1997,Medium Green,73DCA1,87,Medium Green (73DCA1)
1997,Medium Orange,FFA70B,14,Medium Orange (FFA70B)
1997,Metallic Gold,DBAC34,1,Metallic Gold (DBAC34)
1997,Milky White,FFFFFF,6,Milky White (FFFFFF)
1997,Nougat,D09168,50,Nougat (D09168)
1997,Orange,FE8A18,6,Orange (FE8A18)
1997,Pink,FC97AC,40,Pink (FC97AC)
1997,Purple,81007B,1,Purple (81007B)
1997,Red,C91A09,4072,Red (C91A09)
1997,Rust,B31004,6,Rust (B31004)
1997,Salmon,F2705E,106,Salmon (F2705E)
1997,Tan,E4CD9E,30,Tan (E4CD9E)
1997,Trans-Clear,FCFCFC,165,Trans-Clear (FCFCFC)
1997,Trans-Dark Blue,0020A0,51,Trans-Dark Blue (0020A0)
1997,Trans-Green,84B68D,72,Trans-Green (84B68D)
1997,Trans-Light Blue,AEEFEC,84,Trans-Light Blue (AEEFEC)
1997,Trans-Neon Green,F8F184,364,Trans-Neon Green (F8F184)
1997,Trans-Neon Orange,FF800D,135,Trans-Neon Orange (FF800D)
1997,Trans-Red,C91A09,124,Trans-Red (C91A09)
1997,Trans-Yellow,F5CD2F,93,Trans-Yellow (F5CD2F)
1997,Very Light Gray,E6E3DA,27,Very Light Gray (E6E3DA)
1997,White,FFFFFF,3106,White (FFFFFF)
1997,Yellow,F2CD37,3890,Yellow (F2CD37)
1997,[No Color/Any Color],05131D,204,[No Color/Any Color] (05131D)
1998,Aqua,B3D7D1,17,Aqua (B3D7D1)
1998,Black,05131D,11843,Black (05131D)
1998,Blue,0055BF,5750,Blue (0055BF)
1998,Bright Green,4B9F4A,74,Bright Green (4B9F4A)
1998,Brown,583927,515,Brown (583927)
1998,Chrome Blue,6C96BF,1,Chrome Blue (6C96BF)
1998,Chrome Gold,BBA53D,55,Chrome Gold (BBA53D)
1998,Chrome Silver,E0E0E0,155,Chrome Silver (E0E0E0)
1998,Dark Gray,6D6E5C,1789,Dark Gray (6D6E5C)
1998,Dark Orange,A95500,17,Dark Orange (A95500)
1998,Dark Turquoise,008F9B,445,Dark Turquoise (008F9B)
1998,Earth Orange,FA9C1C,14,Earth Orange (FA9C1C)
1998,Glow In Dark Opaque,D4D5C9,5,Glow In Dark Opaque (D4D5C9)
1998,Green,237841,2581,Green (237841)
1998,Light Blue,B4D2E3,1,Light Blue (B4D2E3)
1998,Light Gray,9BA19D,5135,Light Gray (9BA19D)
1998,Light Green,C2DAB8,27,Light Green (C2DAB8)
1998,Light Lime,D9E4A7,5,Light Lime (D9E4A7)
1998,Light Orange,F9BA61,20,Light Orange (F9BA61)
1998,Light Salmon,FEBABD,17,Light Salmon (FEBABD)
1998,Light Turquoise,55A5AF,9,Light Turquoise (55A5AF)
1998,Light Violet,C9CAE2,18,Light Violet (C9CAE2)
1998,Light Yellow,FBE696,27,Light Yellow (FBE696)
1998,Medium Blue,5A93DB,16,Medium Blue (5A93DB)
1998,Medium Dark Pink,F785B1,104,Medium Dark Pink (F785B1)
1998,Medium Green,73DCA1,43,Medium Green (73DCA1)
1998,Medium Lime,C7D23C,44,Medium Lime (C7D23C)
1998,Medium Orange,FFA70B,71,Medium Orange (FFA70B)
1998,Metallic Gold,DBAC34,3,Metallic Gold (DBAC34)
1998,Metallic Silver,A5A9B4,16,Metallic Silver (A5A9B4)
1998,Milky White,FFFFFF,6,Milky White (FFFFFF)
1998,Nougat,D09168,39,Nougat (D09168)
1998,Orange,FE8A18,130,Orange (FE8A18)
1998,Pink,FC97AC,3,Pink (FC97AC)
1998,Purple,81007B,299,Purple (81007B)
1998,Red,C91A09,7034,Red (C91A09)
1998,Salmon,F2705E,76,Salmon (F2705E)
1998,Tan,E4CD9E,383,Tan (E4CD9E)
1998,Trans-Clear,FCFCFC,208,Trans-Clear (FCFCFC)
1998,Trans-Dark Blue,0020A0,130,Trans-Dark Blue (0020A0)
1998,Trans-Dark Pink,DF6695,1,Trans-Dark Pink (DF6695)
1998,Trans-Green,84B68D,191,Trans-Green (84B68D)
1998,Trans-Light Blue,AEEFEC,84,Trans-Light Blue (AEEFEC)
1998,Trans-Neon Green,F8F184,431,Trans-Neon Green (F8F184)
1998,Trans-Neon Orange,FF800D,92,Trans-Neon Orange (FF800D)
1998,Trans-Red,C91A09,208,Trans-Red (C91A09)
1998,Trans-Yellow,F5CD2F,152,Trans-Yellow (F5CD2F)
1998,Very Light Gray,E6E3DA,4,Very Light Gray (E6E3DA)
1998,Violet,4354A3,1,Violet (4354A3)
1998,White,FFFFFF,5757,White (FFFFFF)
1998,Yellow,F2CD37,6549,Yellow (F2CD37)
1998,[No Color/Any Color],05131D,162,[No Color/Any Color] (05131D)
1999,Aqua,B3D7D1,5,Aqua (B3D7D1)
1999,Black,05131D,8333,Black (05131D)
1999,Blue,0055BF,3066,Blue (0055BF)
1999,Bright Green,4B9F4A,96,Bright Green (4B9F4A)
1999,Brown,583927,312,Brown (583927)
1999,Chrome Gold,BBA53D,66,Chrome Gold (BBA53D)
1999,Chrome Green,3CB371,2,Chrome Green (3CB371)
1999,Chrome Silver,E0E0E0,89,Chrome Silver (E0E0E0)
1999,Dark Blue,0A3463,2,Dark Blue (0A3463)
1999,Dark Gray,6D6E5C,1695,Dark Gray (6D6E5C)
1999,Dark Green,184632,32,Dark Green (184632)
1999,Dark Orange,A95500,20,Dark Orange (A95500)
1999,Dark Turquoise,008F9B,238,Dark Turquoise (008F9B)
1999,Earth Orange,FA9C1C,11,Earth Orange (FA9C1C)
1999,Glitter Trans-Clear,FFFFFF,8,Glitter Trans-Clear (FFFFFF)
1999,Glitter Trans-Dark Pink,DF6695,6,Glitter Trans-Dark Pink (DF6695)
1999,Glow In Dark Opaque,D4D5C9,17,Glow In Dark Opaque (D4D5C9)
1999,Green,237841,1408,Green (237841)
1999,Light Gray,9BA19D,5641,Light Gray (9BA19D)
1999,Light Green,C2DAB8,7,Light Green (C2DAB8)
1999,Light Lime,D9E4A7,2,Light Lime (D9E4A7)
1999,Light Orange,F9BA61,9,Light Orange (F9BA61)
1999,Light Salmon,FEBABD,4,Light Salmon (FEBABD)
1999,Light Turquoise,55A5AF,10,Light Turquoise (55A5AF)
1999,Light Violet,C9CAE2,14,Light Violet (C9CAE2)
1999,Light Yellow,FBE696,34,Light Yellow (FBE696)
1999,Medium Blue,5A93DB,31,Medium Blue (5A93DB)
1999,Medium Bluish Violet,6874CA,18,Medium Bluish Violet (6874CA)
1999,Medium Dark Pink,F785B1,79,Medium Dark Pink (F785B1)
1999,Medium Green,73DCA1,6,Medium Green (73DCA1)
1999,Medium Lime,C7D23C,19,Medium Lime (C7D23C)
1999,Medium Orange,FFA70B,11,Medium Orange (FFA70B)
1999,Metallic Gold,DBAC34,16,Metallic Gold (DBAC34)
1999,Metallic Silver,A5A9B4,18,Metallic Silver (A5A9B4)
1999,Milky White,FFFFFF,2,Milky White (FFFFFF)
1999,Nougat,D09168,42,Nougat (D09168)
1999,Orange,FE8A18,170,Orange (FE8A18)
1999,Pink,FC97AC,44,Pink (FC97AC)
1999,Purple,81007B,198,Purple (81007B)
1999,Red,C91A09,3566,Red (C91A09)
1999,Rust,B31004,6,Rust (B31004)
1999,Salmon,F2705E,2,Salmon (F2705E)
1999,Tan,E4CD9E,412,Tan (E4CD9E)
1999,Trans-Brown,635F52,7,Trans-Brown (635F52)
1999,Trans-Clear,FCFCFC,160,Trans-Clear (FCFCFC)
1999,Trans-Dark Blue,0020A0,191,Trans-Dark Blue (0020A0)
1999,Trans-Dark Pink,DF6695,5,Trans-Dark Pink (DF6695)
1999,Trans-Green,84B68D,92,Trans-Green (84B68D)
1999,Trans-Light Blue,AEEFEC,208,Trans-Light Blue (AEEFEC)
1999,Trans-Neon Green,F8F184,272,Trans-Neon Green (F8F184)
1999,Trans-Neon Orange,FF800D,172,Trans-Neon Orange (FF800D)
1999,Trans-Red,C91A09,248,Trans-Red (C91A09)
1999,Trans-Yellow,F5CD2F,198,Trans-Yellow (F5CD2F)
1999,Very Light Gray,E6E3DA,1,Very Light Gray (E6E3DA)
1999,Violet,4354A3,12,Violet (4354A3)
1999,White,FFFFFF,3958,White (FFFFFF)
1999,Yellow,F2CD37,3444,Yellow (F2CD37)
1999,[No Color/Any Color],05131D,101,[No Color/Any Color] (05131D)
2000,Aqua,B3D7D1,43,Aqua (B3D7D1)
2000,Black,05131D,8558,Black (05131D)
2000,Blue,0055BF,2375,Blue (0055BF)
2000,Bright Green,4B9F4A,88,Bright Green (4B9F4A)
2000,Brown,583927,621,Brown (583927)
2000,Chrome Gold,BBA53D,16,Chrome Gold (BBA53D)
2000,Chrome Silver,E0E0E0,40,Chrome Silver (E0E0E0)
2000,Dark Gray,6D6E5C,2557,Dark Gray (6D6E5C)
2000,Dark Orange,A95500,29,Dark Orange (A95500)
2000,Dark Purple,3F3691,1,Dark Purple (3F3691)
2000,Dark Turquoise,008F9B,79,Dark Turquoise (008F9B)
2000,Earth Orange,FA9C1C,10,Earth Orange (FA9C1C)
2000,Glitter Trans-Clear,FFFFFF,1,Glitter Trans-Clear (FFFFFF)
2000,Glitter Trans-Dark Pink,DF6695,1,Glitter Trans-Dark Pink (DF6695)
2000,Glitter Trans-Green,84B68D,1,Glitter Trans-Green (84B68D)
2000,Glitter Trans-Purple,A5A5CB,1,Glitter Trans-Purple (A5A5CB)
2000,Glow In Dark Opaque,D4D5C9,6,Glow In Dark Opaque (D4D5C9)
2000,Green,237841,1837,Green (237841)
2000,Light Blue,B4D2E3,8,Light Blue (B4D2E3)
2000,Light Gray,9BA19D,5075,Light Gray (9BA19D)
2000,Light Green,C2DAB8,1,Light Green (C2DAB8)
2000,Light Orange,F9BA61,17,Light Orange (F9BA61)
2000,Light Turquoise,55A5AF,48,Light Turquoise (55A5AF)
2000,Light Violet,C9CAE2,3,Light Violet (C9CAE2)
2000,Light Yellow,FBE696,31,Light Yellow (FBE696)
2000,Lime,BBE90B,69,Lime (BBE90B)
2000,Magenta,923978,10,Magenta (923978)
2000,Medium Blue,5A93DB,53,Medium Blue (5A93DB)
2000,Medium Bluish Violet,6874CA,16,Medium Bluish Violet (6874CA)
2000,Medium Dark Pink,F785B1,35,Medium Dark Pink (F785B1)
2000,Medium Green,73DCA1,27,Medium Green (73DCA1)
2000,Medium Lime,C7D23C,6,Medium Lime (C7D23C)
2000,Medium Orange,FFA70B,22,Medium Orange (FFA70B)
2000,Medium Violet,9391E4,2,Medium Violet (9391E4)
2000,Metallic Gold,DBAC34,2,Metallic Gold (DBAC34)
2000,Metallic Silver,A5A9B4,46,Metallic Silver (A5A9B4)
2000,Nougat,D09168,21,Nougat (D09168)
2000,Orange,FE8A18,333,Orange (FE8A18)
2000,Pastel Blue,5AC4DA,7,Pastel Blue (5AC4DA)
2000,Pearl Light Gray,9CA3A8,130,Pearl Light Gray (9CA3A8)
2000,Pink,FC97AC,18,Pink (FC97AC)
2000,Purple,81007B,92,Purple (81007B)
2000,Red,C91A09,3310,Red (C91A09)
2000,Rust,B31004,2,Rust (B31004)
2000,Salmon,F2705E,1,Salmon (F2705E)
2000,Sand Green,A0BCAC,2867,Sand Green (A0BCAC)
2000,Tan,E4CD9E,808,Tan (E4CD9E)
2000,Trans-Brown,635F52,15,Trans-Brown (635F52)
2000,Trans-Clear,FCFCFC,292,Trans-Clear (FCFCFC)
2000,Trans-Dark Blue,0020A0,100,Trans-Dark Blue (0020A0)
2000,Trans-Dark Pink,DF6695,30,Trans-Dark Pink (DF6695)
2000,Trans-Green,84B68D,83,Trans-Green (84B68D)
2000,Trans-Light Blue,AEEFEC,155,Trans-Light Blue (AEEFEC)
2000,Trans-Light Purple,96709F,4,Trans-Light Purple (96709F)
2000,Trans-Neon Green,F8F184,203,Trans-Neon Green (F8F184)
2000,Trans-Neon Orange,FF800D,179,Trans-Neon Orange (FF800D)
2000,Trans-Purple,A5A5CB,14,Trans-Purple (A5A5CB)
2000,Trans-Red,C91A09,173,Trans-Red (C91A09)
2000,Trans-Yellow,F5CD2F,100,Trans-Yellow (F5CD2F)
2000,Very Light Gray,E6E3DA,3,Very Light Gray (E6E3DA)
2000,Very Light Orange,F3CF9B,15,Very Light Orange (F3CF9B)
2000,Violet,4354A3,12,Violet (4354A3)
2000,White,FFFFFF,2899,White (FFFFFF)
2000,Yellow,F2CD37,2738,Yellow (F2CD37)
2000,[No Color/Any Color],05131D,162,[No Color/Any Color] (05131D)
2001,Aqua,B3D7D1,2,Aqua (B3D7D1)
2001,Black,05131D,10446,Black (05131D)
2001,Blue,0055BF,2477,Blue (0055BF)
2001,Bright Green,4B9F4A,57,Bright Green (4B9F4A)
2001,Brown,583927,959,Brown (583927)
2001,Chrome Antique Brass,645A4C,8,Chrome Antique Brass (645A4C)
2001,Chrome Blue,6C96BF,2,Chrome Blue (6C96BF)
2001,Chrome Gold,BBA53D,35,Chrome Gold (BBA53D)
2001,Chrome Pink,AA4D8E,1,Chrome Pink (AA4D8E)
2001,Chrome Silver,E0E0E0,81,Chrome Silver (E0E0E0)
2001,Dark Blue,0A3463,9,Dark Blue (0A3463)
2001,Dark Gray,6D6E5C,2823,Dark Gray (6D6E5C)
2001,Dark Green,184632,1,Dark Green (184632)
2001,Dark Nougat,AD6140,2,Dark Nougat (AD6140)
2001,Dark Orange,A95500,52,Dark Orange (A95500)
2001,Dark Purple,3F3691,6,Dark Purple (3F3691)
2001,Dark Red,720E0F,78,Dark Red (720E0F)
2001,Dark Tan,958A73,1,Dark Tan (958A73)
2001,Dark Turquoise,008F9B,75,Dark Turquoise (008F9B)
2001,Earth Orange,FA9C1C,3,Earth Orange (FA9C1C)
2001,Glitter Trans-Dark Pink,DF6695,2,Glitter Trans-Dark Pink (DF6695)
2001,Glow In Dark Opaque,D4D5C9,2,Glow In Dark Opaque (D4D5C9)
2001,Green,237841,2914,Green (237841)
2001,Light Blue,B4D2E3,6,Light Blue (B4D2E3)
2001,Light Gray,9BA19D,5597,Light Gray (9BA19D)
2001,Light Green,C2DAB8,2,Light Green (C2DAB8)
2001,Light Orange,F9BA61,3,Light Orange (F9BA61)
2001,Light Turquoise,55A5AF,17,Light Turquoise (55A5AF)
2001,Light Violet,C9CAE2,5,Light Violet (C9CAE2)
2001,Light Yellow,FBE696,53,Light Yellow (FBE696)
2001,Lime,BBE90B,61,Lime (BBE90B)
2001,Magenta,923978,3,Magenta (923978)
2001,Medium Blue,5A93DB,101,Medium Blue (5A93DB)
2001,Medium Bluish Violet,6874CA,2,Medium Bluish Violet (6874CA)
2001,Medium Dark Pink,F785B1,58,Medium Dark Pink (F785B1)
2001,Medium Green,73DCA1,12,Medium Green (73DCA1)
2001,Medium Lime,C7D23C,15,Medium Lime (C7D23C)
2001,Medium Orange,FFA70B,27,Medium Orange (FFA70B)
2001,Medium Violet,9391E4,1,Medium Violet (9391E4)
2001,Metallic Gold,DBAC34,14,Metallic Gold (DBAC34)
2001,Metallic Green,899B5F,23,Metallic Green (899B5F)
2001,Metallic Silver,A5A9B4,9,Metallic Silver (A5A9B4)
2001,Nougat,D09168,23,Nougat (D09168)
2001,Orange,FE8A18,223,Orange (FE8A18)
2001,Pearl Dark Gray,575857,1,Pearl Dark Gray (575857)
2001,Pearl Light Gray,9CA3A8,86,Pearl Light Gray (9CA3A8)
2001,Pink,FC97AC,5,Pink (FC97AC)
2001,Purple,81007B,45,Purple (81007B)
2001,Red,C91A09,3437,Red (C91A09)
2001,Rust,B31004,4,Rust (B31004)
2001,Sand Blue,6074A1,121,Sand Blue (6074A1)
2001,Sand Green,A0BCAC,123,Sand Green (A0BCAC)
2001,Sand Purple,845E84,49,Sand Purple (845E84)
2001,Sand Red,D67572,520,Sand Red (D67572)
2001,Tan,E4CD9E,861,Tan (E4CD9E)
2001,Trans-Brown,635F52,29,Trans-Brown (635F52)
2001,Trans-Clear,FCFCFC,200,Trans-Clear (FCFCFC)
2001,Trans-Dark Blue,0020A0,101,Trans-Dark Blue (0020A0)
2001,Trans-Dark Pink,DF6695,45,Trans-Dark Pink (DF6695)
2001,Trans-Green,84B68D,86,Trans-Green (84B68D)
2001,Trans-Light Blue,AEEFEC,139,Trans-Light Blue (AEEFEC)
2001,Trans-Medium Blue,CFE2F7,14,Trans-Medium Blue (CFE2F7)
2001,Trans-Neon Green,F8F184,244,Trans-Neon Green (F8F184)
2001,Trans-Neon Orange,FF800D,247,Trans-Neon Orange (FF800D)
2001,Trans-Neon Red,FF0040,5,Trans-Neon Red (FF0040)
2001,Trans-Neon Yellow,DAB000,10,Trans-Neon Yellow (DAB000)
2001,Trans-Purple,A5A5CB,9,Trans-Purple (A5A5CB)
2001,Trans-Red,C91A09,221,Trans-Red (C91A09)
2001,Trans-Yellow,F5CD2F,57,Trans-Yellow (F5CD2F)
2001,Two-tone Copper,945148,2,Two-tone Copper (945148)
2001,Violet,4354A3,6,Violet (4354A3)
2001,White,FFFFFF,3674,White (FFFFFF)
2001,Yellow,F2CD37,2659,Yellow (F2CD37)
2001,[No Color/Any Color],05131D,467,[No Color/Any Color] (05131D)
2002,Aqua,B3D7D1,17,Aqua (B3D7D1)
2002,Black,05131D,14466,Black (05131D)
2002,Blue,0055BF,2770,Blue (0055BF)
2002,Bright Green,4B9F4A,181,Bright Green (4B9F4A)
2002,Brown,583927,1344,Brown (583927)
2002,Chrome Antique Brass,645A4C,6,Chrome Antique Brass (645A4C)
2002,Chrome Gold,BBA53D,54,Chrome Gold (BBA53D)
2002,Chrome Silver,E0E0E0,112,Chrome Silver (E0E0E0)
2002,Dark Blue,0A3463,44,Dark Blue (0A3463)
2002,Dark Gray,6D6E5C,4014,Dark Gray (6D6E5C)
2002,Dark Green,184632,6,Dark Green (184632)
2002,Dark Nougat,AD6140,1,Dark Nougat (AD6140)
2002,Dark Orange,A95500,118,Dark Orange (A95500)
2002,Dark Purple,3F3691,1,Dark Purple (3F3691)
2002,Dark Red,720E0F,85,Dark Red (720E0F)
2002,Dark Tan,958A73,17,Dark Tan (958A73)
2002,Dark Turquoise,008F9B,64,Dark Turquoise (008F9B)
2002,Earth Orange,FA9C1C,11,Earth Orange (FA9C1C)
2002,Flat Dark Gold,B48455,28,Flat Dark Gold (B48455)
2002,Glitter Trans-Clear,FFFFFF,2,Glitter Trans-Clear (FFFFFF)
2002,Glitter Trans-Dark Pink,DF6695,5,Glitter Trans-Dark Pink (DF6695)
2002,Glow In Dark Opaque,D4D5C9,16,Glow In Dark Opaque (D4D5C9)
2002,Green,237841,2112,Green (237841)
2002,Light Blue,B4D2E3,15,Light Blue (B4D2E3)
2002,Light Bluish Gray,A0A5A9,32,Light Bluish Gray (A0A5A9)
2002,Light Gray,9BA19D,10374,Light Gray (9BA19D)
2002,Light Green,C2DAB8,5,Light Green (C2DAB8)
2002,Light Orange,F9BA61,8,Light Orange (F9BA61)
2002,Light Salmon,FEBABD,2,Light Salmon (FEBABD)
2002,Light Turquoise,55A5AF,4,Light Turquoise (55A5AF)
2002,Light Violet,C9CAE2,3,Light Violet (C9CAE2)
2002,Light Yellow,FBE696,87,Light Yellow (FBE696)
2002,Lime,BBE90B,193,Lime (BBE90B)
2002,Magenta,923978,5,Magenta (923978)
2002,Medium Blue,5A93DB,241,Medium Blue (5A93DB)
2002,Medium Bluish Violet,6874CA,3,Medium Bluish Violet (6874CA)
2002,Medium Dark Pink,F785B1,62,Medium Dark Pink (F785B1)
2002,Medium Green,73DCA1,7,Medium Green (73DCA1)
2002,Medium Lime,C7D23C,3,Medium Lime (C7D23C)
2002,Medium Orange,FFA70B,95,Medium Orange (FFA70B)
2002,Metallic Silver,A5A9B4,10,Metallic Silver (A5A9B4)
2002,Nougat,D09168,20,Nougat (D09168)
2002,Orange,FE8A18,711,Orange (FE8A18)
2002,Pearl Dark Gray,575857,86,Pearl Dark Gray (575857)
2002,Pearl Light Gold,DCBC81,5,Pearl Light Gold (DCBC81)
2002,Pearl Light Gray,9CA3A8,409,Pearl Light Gray (9CA3A8)
2002,Pearl Lime,6A7944,8,Pearl Lime (6A7944)
2002,Pearl Sand Blue,7988A1,89,Pearl Sand Blue (7988A1)
2002,Pearl Very Light Gray,ABADAC,11,Pearl Very Light Gray (ABADAC)
2002,Pink,FC97AC,19,Pink (FC97AC)
2002,Purple,81007B,182,Purple (81007B)
2002,Red,C91A09,5046,Red (C91A09)
2002,Reddish Gold,AC8247,8,Reddish Gold (AC8247)
2002,Sand Blue,6074A1,130,Sand Blue (6074A1)
2002,Sand Green,A0BCAC,600,Sand Green (A0BCAC)
2002,Sand Purple,845E84,1,Sand Purple (845E84)
2002,Sand Red,D67572,2,Sand Red (D67572)
2002,Tan,E4CD9E,1260,Tan (E4CD9E)
2002,Trans-Brown,635F52,80,Trans-Brown (635F52)
2002,Trans-Clear,FCFCFC,321,Trans-Clear (FCFCFC)
2002,Trans-Dark Blue,0020A0,145,Trans-Dark Blue (0020A0)
